-624.000000 -549.000000 723.000000, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-424.133789 -312.564636 737.453491, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
30.870377 -81.489502 -120.871712, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.535110 -92.890663 -460.591125, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
-72.691391 -92.724457 -465.418518, -615.000000 -571.000000 682.000000, -611.000000 -595.000000 754.000000, 
